Show Number, Air Date, Category, Value, Question, Answer
6295,2012-01-20,"ENGLISH LITERATURE","None","This title character of an 18th c. novel was the son of a man named Kreutznaer, but his name gets Anglicized","Robinson Crusoe"
4686,2005-01-10,"20th CENTURY AUTHORS","None","This Russian-born author & scientist who died in 1992 said, ""I do not fear computers.  I fear the lack of them""","Isaac Asimov"
4854,2005-10-20,"ENTERPRISING WOMEN","None","She began her company in 1946 with a skin cream her chemist uncle developed & pioneered the concept of ""gift with purchase""","Estée Lauder"
5927,2010-05-25,"FAMILIAR PHRASES","None","This 3-word phrase originated with a signal sent by General Sherman; today it means to be in charge temporarily","hold the fort"
3263,1998-11-11,"BUSINESS & INDUSTRY","None","In 1998 this 106-year-old company became the first in the U.S. to top $300 billion in market value","General Electric"
5301,2007-10-01,"CHARLES DICKENS","None","The title setting of this novel includes figures in china, iron & ivory; suits of armor; old carvings & furniture","The Old Curiosity Shop"
606,1987-04-06,"ANIMALS","None","With a young one valued at $1.4 million, Guinness calls them the most costly zoo animals","giant pandas"
6004,2010-10-21,"ART & ARTISTS","None","They are the 2 artists associated with the 1888 work seen <a href=""http://www.j-archive.com/media/2010-10-21_FJ.jpg"" target=""_blank"">here</a>; one is the artist & the other is the subject","Van Gogh and Gauguin"
3442,1999-07-20,"THE ANIMAL KINGDOM","None","The family Monodontidae is composed of 2 members: the beluga whale & this other marine mammal","Narwhal"
475,1986-10-03,"U.S. GOVERNMENT","None","In 1971, this agency left the Cabinet & became a non-profit corporation","the U.S. Postal Service"
2914,1997-04-10,"NAVAL HEROES","None","In a difficult situation George Dewey would ask himself, what would this man, his former commander, do?","Admiral David Farragut"
5022,2006-06-13,"LITERARY QUOTES","None","""I would like to take the great DiMaggio fishing"" is a line from this 1952 work; like DiMaggio, it's an American classic","The Old Man and the Sea (by Ernest Hemingway)"
3048,1997-11-26,"CANDY","None","Created in 1912, they were originally marketed with the slogan ""For That Stormy Breath""","Life Savers"
5531,2008-09-29,"20th CENTURY AMERICA","None","Experts say Glenn McDuffie is the mystery man in the classic Eisenstaedt photo taken in this year","1945"
5748,2009-09-16,"20th CENTURY WOMEN","None","She won gold at the 1928, 1932 & 1936 Winter Olympics & also has a star on the Hollywood Walk of Fame","Sonja Henie"
5006,2006-05-22,"19th CENTURY AMERICA","None","Springs at Weston, Missouri provided water to wagon trains & McCormick's, now the USA's oldest continuously operating one of these","a distillery"
3469,1999-10-07,"FAMOUS BALLETS","None","A magic feather helps save the life of Prince Ivan in this Stravinsky ballet based on Russian folklore","The Firebird"
6268,2011-12-14,"POPULAR BABY NAMES","None","Character names in a book & movie series, the top names for 2009 & 2010 were Isabella for girls & this biblical one for boys","Jacob"
5823,2009-12-30,"THE CONSTITUTION","None","Just 37 words, it's in the article on the executive branch & is the only part of the Constitution that is in quote marks","the Presidential Oath of Office"
3124,1998-03-12,"MEDIEVAL DRAMA","None","The name of this title character of a morality play has become a synonym for the average, ordinary person","Everyman"
2236,1994-05-02,"MUSEUMS","None","Founded in 1846, it's the world's largest museum complex with 16 museums & over 140 million items","Smithsonian"
2919,1997-04-17,"THE WORLD OF MATHEMATICS","None","Of ancient people, only the Hindus, Babylonians & Mayans invented a symbol for this; the Mayans' is seen here:","Zero"
4489,2004-02-26,"PSYCHOLOGY","None","The concept of the ""Oedipus Complex"" was introduced in this 1899 book","The Interpretation of Dreams"
6176,2011-06-20,"MOVIE CHARACTER NAMES","None","This last name of the speech therapist in the 2010 Oscar winner for best picture is also a suffix meaning ""speech""","(Lionel) Logue"
5151,2007-01-22,"RECENT BOOKS","None","""American Vertigo"" by philosopher Bernard-Henri Levy retraced a trip 175 years before by this man, his countryman","Alexis de Tocqueville"
2948,1997-05-28,"AFRICAN COUNTRIES","None","The northernmost country in Africa, it's much smaller than the countries that border it","Tunisia"
5750,2009-09-18,"BRITISH AUTHORS","None","Though known for writing nonsense verse, he gave Queen Victoria drawing lessons & Tennyson wrote a poem to him","Edward Lear"
5191,2007-03-19,"HISTORIC QUOTES","None","On May 5, 1961 he famously exclaimed, ""What a beautiful view!""","Alan Shepard"
5574,2008-11-27,"HOLIDAYS & OBSERVANCES","None","The only public state holiday in the U.S. honoring a monarch is one honoring this ruler","King Kamehameha"
3580,2000-03-10,"FICTIONAL CHARACTERS","None","In a 1963 book this character found out his family motto in Latin would be ""Orbis Non Sufficit""","James Bond (\""The World Is Not Enough\"")"
3905,2001-07-20,"POP MUSIC","None","The special November 2000 TV Guide cover seen here was part of its tribute to this rock group","The Beatles (tribute to their 1968 album, \""The White Album\"")"
2830,1996-12-13,"FAMOUS AMERICANS","None","His love of music led him to found a school of music at the University of Rochester, N.Y.","George Eastman (The Eastman School of Music)"
4260,2003-02-21,"AMERICAN NOVELS","None","The narrator of this 1951 novel first appeared in the short stories ""I'm Crazy"" & ""Slight Rebellion off Madison""","\""Catcher in the Rye\"" (the narrator being Holden Caulfield)"
4747,2005-04-05,"HISTORIC PLACES","None","The towns of Vierville-sur-Mer & Colleville-sur-Mer entered history with this 2-word area named for a U.S. city","Omaha Beach"
4619,2004-10-07,"FAMOUS NAMES","None","The last thing visitors see in the exhibit area of the Salem Witch Museum is a huge photo of this politician","(\""Tailgunner Joe\"" Senator Joseph) McCarthy"
737,1987-11-17,"STATE CAPITALS","None","Of the 4 U.S. state capitals named after presidents, this is farthest north and east","Madison, Wisconsin"
4510,2004-03-26,"MEDICAL TERMINOLOGY","None","A circumorbital hematoma is more commonly known as this","a black eye"
5080,2006-10-13,"TRANSPORTATION","None","The name of this airline established in 1948 means ""skyward""","El Al"
5990,2010-10-01,"WORD ORIGINS","None","Like the name of a minor Roman god, this word for a caretaker comes from the Latin for ""door""","janitor"
967,1988-11-15,"THE NOBEL PRIZE","None","This country's authors have won more Nobel literature prizes than any other, including the U.S.","France"
2820,1996-11-29,"U.S. CITIES","None","Designed locally & cast in Japan,  a peace & friendship bell was dedicated in this Tennessee city in 1996","Oak Ridge"
6015,2010-11-05,"TERMS FROM THE BIBLE","None","In 2010 we heard of the discovery of the fossil of a 12 million-year-old giant sperm whale given this Biblical name by its finders","Leviathan"
3944,2001-10-25,"7-LETTER WORDS","None","It's from the Greek for ""a place for watching""","theater"
3123,1998-03-11,"TRANSPORTATION HISTORY","None","In 1807 he wrote, ""The distance from New York to Albany is 150 miles; I ran it up in thirty-two hours""","Robert Fulton (of the steamship Clermont)"
5290,2007-09-14,"BREAD","None","Larousse spread the tale that after a 17th Century triumph, the victors ate this as a symbol of the beaten Muslims","croissants (crescent rolls)"
4753,2005-04-13,"16th CENTURY NAMES","None","As a foe of the Spanish, he's been called ""The Queen's Pirate"" & a ""Gran Luterano""","Sir Francis Drake"
4812,2005-07-05,"WARTIME","None","The Victoria Cross is made from metal taken from enemy guns captured in this war","the Crimean War"
5565,2008-11-14,"HIGHER EDUCATION","None","The 1st public one of these schools began in Illinois in 1901 for students who wanted to pursue higher education in their home area","a community college (or junior college)"
4668,2004-12-15,"HISTORIC MESSAGES","None","In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""","John Fitzgerald Kennedy"
3816,2001-03-19,"AFRICAN HISTORY","None","Ruth Perry, modern Africa's first female head of state, headed a transitional government in this country in 1996","Liberia"
2350,1994-11-18,"OPERA","None","One-word title of the Verdi opera set in Windsor, England in the 15th century","\""Falstaff\"""
1428,1990-11-14,"U.S. HISTORY","None","After Virginia, more Civil War battles were fought in this state than in any other","Tennessee"
3043,1997-11-19,"POLITICAL CONNECTIONS","None","In 1832 when the House tried Sam Houston for contempt, he was defended by this lawyer & lyricist","Francis Scott Key"
5938,2010-06-09,"ARTISTS","None","She's seen wearing a rebozo in her 1937 ""Self-Portrait Dedicated to Leon Trotsky""","Frida Kahlo"
4519,2004-04-08,"ISLANDS","None","1200 miles from the nearest continent, it entered history because of its isolation (here's a map that shows you where it is)","St. Helena"
4174,2002-10-24,"HISTORIC PHRASES","None","Sidney Sherman, who died in Texas in 1873, is credited with coining this 3-word phrase","\""Remember the Alamo\"""
4185,2002-11-08,"STATE CAPITALS","None","In the continental United States, this city is the southernmost state capital","Austin, Texas (Tallahassee is a very close second, Baton Rouge, third)"
4337,2003-06-10,"2001 NEWS","None","On May 9, 2001 he signed a state law banning punch-card voting","Jeb Bush (governor of Florida)"
5771,2009-10-19,"NOTABLE WOMEN","None","When Galveston was devastated by a hurricane in 1900, she traveled 1,500 miles to head up the relief effort","Clara Barton"
5083,2006-10-18,"THE 50 STATES","None","The constitution for the proposed state of Sequoyah served in large part as the basis for this state's constitution","Oklahoma"
5188,2007-03-14,"PRESIDENTIAL FAMILIES","None","The last 2 U.S. presidents to have only one child; both served in the 20th century","Clinton & Truman"
5733,2009-07-08,"ROYALTY","None","This man whose titles include Baron Greenwich is, like his wife, a great-great-grandchild of Queen Victoria","Prince Philip"
4797,2005-06-14,"EUROPEAN CAPITALS","None","In an August 1989 protest, a 2-million-person human chain stretched from Tallinn to Riga to this city","Vilnius"
3861,2001-05-21,"COINS","None","The ancient coin seen here comes from this island","Crete (The Labyrinth, where the Minotaur lives)"
5767,2009-10-13,"AFRICAN GEOGRAPHY","None","It's a landlocked nation in Western Africa & its name is ""locked"" within the name of a nation on Africa's east coast","Mali (in Somalia)"
2541,1995-09-25,"NEXT IN LINE","None","Jacqueline, Claudia, Thelma, …","Elizabeth \""Betty\"" (Ford)"
3030,1997-10-31,"HALLOWEEN","None","Mythical Halloween being in the title of the oft-repeated animated TV special that debuted October 27, 1966","the Great Pumpkin (It's the Great Pumpkin, Charlie Brown)"
6151,2011-05-16,"COLLEGE","None","From the Latin for ""free"", this 2-word term for a type of college refers to the old belief of what a free man should be taught","liberal arts"
1328,1990-05-16,"GEOGRAPHY","None","It's the only country whose name begins with ""A"", but doesn't end with ""A""","Afghanistan"
2977,1997-07-08,"WORD ORIGINS","None","This word meaning an expert commentator is derived from the Sanskrit for ""learned man""","Pundit"
3902,2001-07-17,"AT THE LIBRARY","None","This author & biochemist who died in 1992 has at least one book in all 10 main Dewey Decimal categories","Isaac Asimov"
4471,2004-02-02,"BASEBALL HISTORY","None","On August 10th, 2003, Rafael Furcal of the Braves became only the 12th man in MLB history to perform this single-handedly","a triple play"
6017,2010-11-09,"WORDS IN 20th CENTURY NOVELS","None","Words found in this 1945 fable include brood, baying, bleating, comrade, tyranny & rebellion","Animal Farm"
4179,2002-10-31,"HISTORIC CONGRESSMEN","None","Armed Services Committee head Carl Vinson was the first living American for whom the government named 1 of these","ship/aircraft carrier"
4106,2002-06-10,"THE PRESIDENCY","None","He was the last president to take the oath of office from someone other than the Chief Justice of the U.S.","Lyndon Johnson"
2900,1997-03-21,"INVENTORS","None","Before the Monitor, John Ericsson designed a screw-driven steamboat & named it for this ancient Greek","Archimedes"
4214,2002-12-19,"TV & MUSIC","None","Scooby-Doo's name was inspired by a line in this 1966 song standard","\""Strangers in the Night\"""
4806,2005-06-27,"MILITARY MEN","None","Last name of the first father & son to be awarded medals of honor, for service in the Civil War & WWII respectively","Arthur & Douglas MacArthur"
2581,1995-11-20,"BESTSELLING NOVELISTS","None","From 1979 to 1986, he was dean of the college of business administration at the University of Northern Iowa","Robert James Waller (\""The Bridges of Madison County\"")"
